02:32:27:806 [ALWAYS]	GUDE Logging Started
02:32:27:808 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
02:32:27:809 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
02:32:27:809 [ERROR]	Initialize resume cache pointer failure
02:32:27:811 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
02:32:27:811 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
02:32:33:872 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
02:32:33:872 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
02:32:33:873 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
02:32:33:873 [ERROR]	Initialize resume cache pointer failure
02:32:33:873 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
02:32:33:873 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
